fid,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,x,y
4018,0.0074,0.0004,0.0051,0.8759,0.0405,0.0348,0.0287,0.0012,0.006,3,0.908403361,0.031932773,0.057142857,0,0.002521008,0,0,0,0,0,0,0,0,0,0,0,0,0.10605137,0,0,0,0.746710172,0.037649252,0.514539783,0.000950535,0.002318343,0.000748901,0.000558946,6.948275863,4,10.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.5900664,32.93522327
4019,0.0036,0,0.0026,0.8212,0.0564,0.0647,0.0431,0.0025,0.006,9,0.972318339,0.024221453,0,0,0.003460208,0,0,0,0,0,0,0,0,0,0,0,0,0.401848308,0,1,0,0.358564309,0.004482054,0.261751945,0.001006057,0.003691586,0.001110833,0.000405692,6.600000001,1.6,7.285714286,2,0.717128618,0.008964108,0.52350389,0.002012114,0.002012114,0.002221666,13.2,3.2,14.57142857,0,0,0,0,0,0,0,0,0,0,119.5900664,32.90522327
4020,0.0027,0.0004,0.0051,0.8357,0.0557,0.0426,0.0507,0.0012,0.006,2,0.878151261,0.064705882,0.057142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263515819,0,1,0,0.273405285,0.040338485,0.516332604,0.001034163,0.003528201,0.000740924,0.000385283,6.828571429,3.642857143,12.08163265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.5900664,32.87522327
4021,0.0033,0.0005,0.0057,0.8661,0.0564,0.047,0.0147,0.0004,0.006,4,0.972318339,0.027681661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315040509,0,0,0,0.330775575,0.050199003,0.577288537,0.001575315,0.003744352,0.00085545,0.000628402,7.307692308,3.533333334,12.33333333,1,0.330775575,0.050199003,0.577288537,0.001575315,0.001575315,0.00085545,7.307692308,3.533333334,12.33333333,0,0,0,0,0,0,0,0,0,0,119.5900664,32.84522327
4022,0.0064,0,0.0011,0.7935,0.0905,0.0672,0.0339,0.0014,0.006,70,0.851211073,0.112456747,0.029411765,0,0.006920415,0,0,0,0,0,0,0,0,0,0,0,0,0.996248925,0,8,0,0.641830112,0,0.106672882,0.001002705,0,0.00187067,0.000769149,8.796296297,0,6.500000001,3,1.925490336,0,0.320018646,0.003008115,0.003008115,0.00561201,26.38888889,0,19.5,0,0,0,0,0,0,0,0,0,0,119.5900664,32.81522327
4023,0.0108,0.0003,0.0096,0.8501,0.0591,0.042,0.0199,0.0022,0.006,8,0.91092437,0.030252101,0.057142857,0,0.001680672,0,0,0,0,0,0,0,0,0,0,0,0,0.268864055,0,0,0,1.083760622,0.034063609,0.962745168,0.000873135,0.00212225,0.000674361,0.000699668,10.82857143,4,15.59090909,1,1.083760622,0.034063609,0.962745168,0.000873135,0.000873135,0.000674361,10.82857143,4,15.59090909,0,0,0,0,0,0,0,0,0,0,119.5900664,32.78522327
4024,0.0136,0.0001,0.0088,0.6553,0.2294,0.0484,0.038,0.0006,0.006,148,0.727508651,0.138408304,0,0,0.012110727,0,0,0.121972318,0,0,0,0,0,0,0,0,0,0.72374593,0,58,0,1.364337194,0.006274875,0.88296461,0.000704514,0.002951289,0.000669002,0.000525926,13.13924051,2.333333334,15.42857143,6,8.186023164,0.03764925,5.29778766,0.004227084,0.004227084,0.004014012,78.83544306,14,92.57142858,0,0,0,0,0,0,0,0,0,0,119.5900664,32.75522327
4025,0.0335,0.0003,0.0045,0.8056,0.0954,0.0299,0.02,0.002,0.0089,1,0.795798319,0.147058824,0.057142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293938706,0,0,0,3.381525238,0.026073978,0.452248656,0.000523006,0.003799081,0.001015625,0.001106645,16.76422764,3.545454546,10.64444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.5900664,32.72522327
4026,0.0336,0.0062,0.0128,0.7704,0.1033,0.0482,0.0193,0.0003,0.006,0,0.775951557,0.224048443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481473556,0,0,0,3.379468608,0.628383951,1.284556635,0.000556263,0.001668889,0.000687981,0.000850297,17.06504065,6.792452831,13.0131579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.5900664,32.69522327
4027,0.0598,0.0009,0.0075,0.7665,0.0961,0.0359,0.0264,0.0009,0.006,5,0.633217993,0.337370242,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.773414103,1.5049753,3,0.26165804,6.013123454,0.087848256,0.75567428,0.000441749,0.002553164,0.000618451,0.000493738,21.90853659,5.7,14.37288136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.5900664,32.66522327
